,AQI,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
269,108,334,81,135,8,46,1.30,33
270,82,303,59,105,8,50,1.40,21
271,63,301,37,75,10,45,1.13,36
272,82,339,60,106,15,52,1.35,39
273,108,339,80,144,15,61,1.52,65
274,136,344,102,193,15,85,1.88,64
275,152,350,115,224,15,91,1.97,59
276,132,342,94,195,16,76,1.88,61
277,147,354,57,202,13,49,1.17,37
278,50,119,25,52,16,42,0.94,16
279,64,218,43,71,8,44,1.10,11
280,50,151,25,53,6,41,1.31,13
281,63,255,38,72,11,49,1.34,28
282,65,273,41,69,12,46,1.28,23
283,98,347,73,105,13,51,1.43,19
284,115,352,86,123,12,58,1.56,21
285,97,305,71,119,11,57,1.54,15
286,105,315,78,121,11,54,1.33,31
287,75,261,50,91,12,48,1.09,28
288,73,248,52,78,6,37,1.04,25
289,77,278,50,87,10,45,1.37,25
290,75,260,42,98,13,58,1.45,32
291,107,313,74,147,16,67,1.70,47
292,141,341,106,192,14,77,1.83,42
293,103,316,70,142,11,56,1.52,43
294,57,247,26,64,8,35,1.31,19
295,51,242,26,58,6,38,1.09,17
296,31,69,20,30,7,30,1.23,18
297,35,79,20,33,10,36,1.34,17
298,54,188,35,50,8,35,1.67,7
299,52,186,36,51,11,42,1.88,10
300,31,50,19,29,7,33,1.40,23
301,34,83,14,30,7,30,0.72,47
302,57,263,28,62,8,44,0.90,34
303,82,325,56,109,12,55,1.29,15
304,77,325,43,100,13,46,1.24,33
305,99,335,73,127,16,50,1.47,16
306,164,355,124,204,16,65,2.08,13
307,225,356,175,269,19,96,2.71,13
308,217,348,168,245,20,96,2.70,13
309,238,347,187,272,20,95,2.89,20
310,210,354,165,240,19,62,2.75,12
311,67,139,24,82,11,33,1.43,25
312,77,267,41,100,17,46,1.60,14
313,129,350,97,154,18,54,1.96,7
314,330,360,74,432,16,62,2.10,25
315,208,359,89,317,20,63,2.36,13
316,146,333,104,239,23,78,2.63,11
317,221,344,170,325,31,99,3.03,16
318,221,344,171,290,25,93,2.89,8
319,212,360,163,259,36,86,2.73,30
320,266,365,215,312,31,84,2.78,11
321,304,364,253,363,34,80,2.97,14
322,238,345,187,272,23,65,2.39,8
323,181,341,134,256,21,58,2.03,13
324,188,348,143,253,34,65,2.17,7
325,183,362,138,232,25,54,2.04,8
326,46,242,16,48,9,30,0.95,39
327,47,181,30,46,16,45,1.26,28
328,91,272,66,90,30,61,1.63,15
329,141,321,107,141,30,68,1.94,9
330,148,313,86,233,28,66,2.04,17
331,180,355,136,272,47,82,2.86,12
332,223,366,174,303,48,76,2.74,9
333,150,317,109,211,38,58,1.97,18
334,119,274,82,167,31,67,2.04,19
335,180,345,137,242,45,80,2.42,12
336,255,361,204,310,48,88,2.78,9
337,162,302,123,179,25,65,2.21,19
338,107,190,77,140,28,77,2.67,15
339,139,293,81,180,21,54,1.78,31
340,113,269,83,150,35,71,1.89,15
341,210,352,161,233,38,91,2.62,10
342,248,360,197,255,35,94,2.78,17
343,256,364,205,271,44,83,2.93,12
344,224,362,175,233,39,69,2.45,14
345,209,349,160,209,30,55,1.99,20
346,210,347,164,204,27,59,2.22,12
347,292,364,241,293,27,82,3.10,12
348,325,366,274,351,31,76,3.40,8
349,242,358,197,266,30,76,2.74,22
350,189,332,145,192,33,76,2.39,19
351,261,357,210,254,35,94,2.98,13
352,349,351,301,353,46,99,3.71,14
353,426,349,390,450,40,101,4.05,12
354,457,357,434,501,51,85,4.23,10
355,209,319,162,241,23,52,2.56,19
356,103,263,75,138,23,65,2.43,9
357,144,319,109,171,40,71,2.45,13
358,184,357,139,181,31,59,2.02,25
359,117,311,87,115,20,48,1.43,20
360,73,277,37,93,19,43,1.23,39
361,76,258,46,95,19,50,1.51,34
362,97,265,71,121,35,61,1.78,23
363,165,322,125,176,42,70,2.36,12
364,256,356,205,272,48,88,3.05,13
365,350,357,299,375,47,111,3.54,12
366,393,361,346,410,51,103,3.47,11
367,341,356,290,365,37,102,3.40,22
368,408,361,366,441,33,118,4.12,15
369,473,364,467,556,43,124,4.53,11
370,483,365,490,591,50,100,4.90,11
371,209,334,170,236,26,54,3.26,12
372,89,242,66,94,23,51,2.29,13
373,125,294,94,138,30,67,2.39,21
374,122,284,91,131,32,67,2.12,17
375,83,203,60,82,26,41,1.30,37
376,67,155,45,74,23,45,1.24,42
377,86,235,56,110,23,60,1.59,33
378,110,284,81,143,34,77,2.14,22
379,204,359,155,213,42,78,2.50,20
380,225,357,174,227,40,73,2.41,13
381,311,358,260,318,42,83,2.95,14
382,326,359,275,359,37,88,3.03,16
383,340,357,289,371,45,93,2.93,16
384,197,334,148,233,27,57,1.85,42
385,67,176,36,80,28,46,1.32,38
386,96,274,70,123,29,64,1.82,31
387,171,349,130,204,40,87,2.35,24
388,248,357,197,271,49,93,2.95,23
389,337,364,286,361,50,93,3.38,17
390,413,366,370,461,43,90,3.67,27
391,400,360,244,528,29,60,2.58,41
392,155,299,72,255,29,37,1.69,47
393,204,274,154,246,43,40,1.98,39
394,129,285,77,188,27,34,1.57,48
395,95,292,54,133,33,25,1.40,53
396,125,344,94,154,29,38,1.62,34
397,204,360,154,223,33,49,2.30,32
398,190,351,143,197,38,47,2.16,42
399,258,358,207,268,45,70,2.74,34
400,282,356,231,289,40,80,3.01,36
401,291,353,240,309,51,83,3.30,41
402,308,365,257,341,34,61,2.77,37
403,159,356,121,167,19,44,1.82,30
404,57,201,28,64,15,30,1.17,52
405,57,156,34,64,19,54,1.45,36
406,73,215,51,83,24,64,1.58,33
407,112,311,84,125,29,78,1.74,32
408,204,346,155,218,40,88,2.25,31
409,239,358,188,262,51,94,2.63,32
410,261,355,210,282,44,96,2.63,43
411,296,360,245,339,39,110,2.83,31
412,213,345,165,253,27,84,2.25,39
413,138,317,97,204,36,67,1.66,43
414,206,355,156,274,36,99,2.17,28
415,253,359,203,320,39,122,2.60,37
416,178,349,93,274,26,61,1.72,39
417,87,316,48,110,14,39,1.42,41
418,102,304,65,134,22,57,1.75,32
419,67,206,28,83,18,49,1.24,54
420,83,247,55,112,26,75,1.60,30
421,99,272,73,124,28,77,1.63,34
422,116,316,87,139,30,84,1.71,34
423,151,352,114,182,37,104,2.11,22
424,155,347,115,181,30,83,2.02,28
425,77,172,31,99,14,41,1.08,64
426,75,241,44,97,26,69,1.36,33
427,100,325,68,136,29,76,1.53,40
428,137,315,101,191,43,92,1.88,33
429,144,329,103,186,35,83,1.77,30
430,65,202,34,80,22,60,1.17,42
431,89,302,61,123,30,79,1.53,29
432,77,263,48,102,27,63,1.31,40
433,89,269,63,123,37,66,1.50,43
434,125,333,93,174,55,86,1.94,25
435,147,327,111,165,38,67,1.74,36
436,88,282,64,84,15,45,1.50,33
437,44,103,30,39,9,36,1.16,47
438,82,303,60,72,14,45,1.34,38
439,79,272,57,76,15,45,1.30,42
440,113,336,84,101,15,52,1.41,45
441,104,289,77,106,18,55,1.47,40
442,135,319,101,151,20,75,1.87,28
